49;Ванкувер;Британская Колумбия;Канада;-8;America/Vancouver
1495;Сиэтл;Вашингтон;США;-8;America/Los_Angeles
179;Лос-Анджелес;Калифорния;США;-8;America/Los_Angeles
249;Пало-Альто;Калифорния;США;-8;America/Los_Angeles
284;Сан-Диего;Калифорния;США;-8;America/Los_Angeles
1458;Денвер;Колорадо;США;-7;America/Denver
657;Вилинг;Иллинойс;США;-6;America/Chicago
655;Гленвью;Иллинойс;США;-6;America/Chicago
1599;Урбана;Иллинойс;США;-6;America/Chicago
383;Чикаго;Иллинойс;США;-6;America/Chicago
656;Эванстон;Иллинойс;США;-6;America/Chicago
368;Хьюстон;Техас;США;-6;America/Chicago
52;Ватерлу;Онтарио;Канада;-5;America/Toronto
200;Монреаль;Квебек;Канада;-5;America/Montreal
245;Оттава;Онтарио;Канада;-5;America/Toronto
335;Торонто;Онтарио;Канада;-5;America/Toronto
1494;Вест-Лафайетт;Индиана;США;-5;America/Indiana/Indianapolis
41;Бостон;Массачусетс;США;-5;America/New_York
596;Вест-Роксбери;Массачусетс;США;-5;America/New_York
416;Кембридж;Массачусетс;США;-5;America/New_York
1499;Уолтэм;Массачусетс;США;-5;America/New_York
196;Миннеаполис;Миннесота;США;-5;America/Chicago
296;Сент-Луис;Миссури;США;-5;America/Chicago
1662;Шугарлоаф;Мэн;США;-5;America/New_York
450;Принстон;Нью-Джерси;США;-5;America/New_York
1546;Баффало;Нью-Йорк;США;-5;America/New_York
1655;Буффало;Нью-Йорк;США;-5;America/New_York
123;Итака;Нью-Йорк;США;-5;America/New_York
233;Нью-Йорк;Нью-Йорк;США;-5;America/New_York
53;Вашингтон;округ Колумбия;США;-5;America/New_York
355;Филадельфия;Пенсильвания;США;-5;America/New_York
264;Провиденс;Род-Айленд;США;-5;America/New_York
1540;Майами;Флорида;США;-5;America/New_York
178;Лондон;;Великобритания;0;Europe/London
1638;Ашаффенбург;Бавария;Германия;1;Europe/Berlin
1663;Бад-Киссинген;Бавария;Германия;1;Europe/Berlin
47;Бургхаузен;Бавария;Германия;1;Europe/Berlin
1516;Вюрцбург;Бавария;Германия;1;Europe/Berlin
205;Мюнхен;Бавария;Германия;1;Europe/Berlin
234;Нюрнберг;Бавария;Германия;1;Europe/Berlin
1649;Фюссен;Бавария;Германия;1;Europe/Berlin
1647;Хоббах;Бавария;Германия;1;Europe/Berlin
1530;Висбаден;Баден-Вюртемберг;Германия;1;Europe/Berlin
132;Карлсруэ;Баден-Вюртемберг;Германия;1;Europe/Berlin
1507;Ульм;Баден-Вюртемберг;Германия;1;Europe/Berlin
1508;Хайльбронн;Баден-Вюртемберг;Германия;1;Europe/Berlin
389;Штутгарт;Баден-Вюртемберг;Германия;1;Europe/Berlin
31;Берлин;Берлин;Германия;1;Europe/Berlin
1548;Дармштадт;Гессен;Германия;1;Europe/Berlin
1657;Карлсхайм;Гессен;Германия;1;Europe/Berlin
1656;Лаутербах;Гессен;Германия;1;Europe/Berlin
1641;Лимбург;Гессен;Германия;1;Europe/Berlin
357;Франкфурт-на-Майне;Гессен;Германия;1;Europe/Berlin
1648;Эрбах;Гессен;Германия;1;Europe/Berlin
71;Ганновер;Нижняя Саксония;Германия;1;Europe/Berlin
73;Гёттинген;Нижняя Саксония;Германия;1;Europe/Berlin
149;Кобленц;Рейнланд-Пфальц;Германия;1;Europe/Berlin
1486;Трир;Рейнланд-Пфальц;Германия;1;Europe/Berlin
365;Хемниц;Саксония;Германия;1;Europe/Berlin
360;Халле;Саксония-Анхальт;Германия;1;Europe/Berlin
1519;Аахен;Северный Рейн - Вестфалия;Германия;1;Europe/Berlin
36;Бонн;Северный Рейн - Вестфалия;Германия;1;Europe/Berlin
42;Бохум;Северный Рейн - Вестфалия;Германия;1;Europe/Berlin
1523;Вупперталь;Северный Рейн - Вестфалия;Германия;1;Europe/Berlin
94;Дортмунд;Северный Рейн - Вестфалия;Германия;1;Europe/Berlin
96;Дюссельдорф;Северный Рейн - Вестфалия;Германия;1;Europe/Berlin
136;Кёльн;Северный Рейн - Вестфалия;Германия;1;Europe/Berlin
194;Мёнхенгладбах;Северный Рейн - Вестфалия;Германия;1;Europe/Berlin
1628;Реклинсгаузен;Северный Рейн - Вестфалия;Германия;1;Europe/Berlin
1605;Эссен;Северный Рейн - Вестфалия;Германия;1;Europe/Berlin
475;Форли;;Италия;1;Europe/Rome
1525;Лейден;;Нидерланды;1;Europe/Amsterdam
427;Роттердам;;Нидерланды;1;Europe/Amsterdam
263;Прага;;Чехия;1;Europe/Prague
44;Брест;Брестская область;Беларусь;2;Europe/Minsk
150;Кобрин;Брестская область;Беларусь;2;Europe/Minsk
257;Пинск;Брестская область;Беларусь;2;Europe/Minsk
18;Бабиничи;Витебская область;Беларусь;2;Europe/Minsk
59;Витебск;Витебская область;Беларусь;2;Europe/Minsk
1534;Лужесно;Витебская область;Беларусь;2;Europe/Minsk
222;Новополоцк;Витебская область;Беларусь;2;Europe/Minsk
1623;Орша;Витебская область;Беларусь;2;Europe/Minsk
1487;Полоцк;Витебская область;Беларусь;2;Europe/Minsk
1526;Ветка;Гомельская область;Беларусь;2;Europe/Minsk
74;Гомель;Гомельская область;Беларусь;2;Europe/Minsk
1615;Жлобин;Гомельская область;Беларусь;2;Europe/Minsk
177;Лоев;Гомельская область;Беларусь;2;Europe/Minsk
199;Мозырь;Гомельская область;Беларусь;2;Europe/Minsk
447;Рогачёв;Гомельская область;Беларусь;2;Europe/Minsk
65;Волковыск;Гродненская область;Беларусь;2;Europe/Minsk
79;Гродно;Гродненская область;Беларусь;2;Europe/Minsk
175;Лида;Гродненская область;Беларусь;2;Europe/Minsk
1459;Ошмяны;Гродненская область;Беларусь;2;Europe/Minsk
1545;Щучин;Гродненская область;Беларусь;2;Europe/Minsk
197;Минск;Минск;Беларусь;2;Europe/Minsk
1451;Борисов;Минская область;Беларусь;2;Europe/Minsk
410;Дзержинск (Б);Минская область;Беларусь;2;Europe/Minsk
184;Любань;Минская область;Беларусь;2;Europe/Minsk
1544;Молодечно;Минская область;Беларусь;2;Europe/Minsk
303;Солигорск;Минская область;Беларусь;2;Europe/Minsk
1596;Столбцы;Минская область;Беларусь;2;Europe/Minsk
1631;Узда;Минская область;Беларусь;2;Europe/Minsk
375;Червень;Минская область;Беларусь;2;Europe/Minsk
1473;Бобруйск;Могилёвская область;Беларусь;2;Europe/Minsk
1559;Быхов;Могилёвская область;Беларусь;2;Europe/Minsk
408;Горки;Могилёвская область;Беларусь;2;Europe/Minsk
145;Кировск (Б);Могилёвская область;Беларусь;2;Europe/Minsk
1569;Климовичи;Могилёвская область;Беларусь;2;Europe/Minsk
1574;Костюковичи;Могилёвская область;Беларусь;2;Europe/Minsk
1537;Костюковичи;Могилёвская область;Беларусь;2;Europe/Minsk
167;Кричев;Могилёвская область;Беларусь;2;Europe/Minsk
198;Могилёв;Могилёвская область;Беларусь;2;Europe/Minsk
1527;Осиповичи;Могилёвская область;Беларусь;2;Europe/Minsk
50;Варна;;Болгария;2;Europe/Sofia
258;Пловдив;;Болгария;2;Europe/Sofia
305;София;;Болгария;2;Europe/Sofia
1498;Бат-Ям;округ Гуш-Дан;Израиль;2;Asia/Jerusalem
1514;Бней-Аиш;округ Гуш-Дан;Израиль;2;Asia/Jerusalem
592;Герцлия;округ Гуш-Дан;Израиль;2;Asia/Jerusalem
593;Гиват-Шмуэль;округ Гуш-Дан;Израиль;2;Asia/Jerusalem
1586;Петах-Тиква;округ Гуш-Дан;Израиль;2;Asia/Jerusalem
591;Рамат-Ган;округ Гуш-Дан;Израиль;2;Asia/Jerusalem
275;Ришон Ле-Цион;округ Гуш-Дан;Израиль;2;Asia/Jerusalem
326;Тель-Авив;округ Гуш-Дан;Израиль;2;Asia/Jerusalem
462;Ариэль;округ Иерусалим;Израиль;2;Asia/Jerusalem
118;Иерусалим;округ Иерусалим;Израиль;2;Asia/Jerusalem
1517;Нешер;округ Хайфа;Израиль;2;Asia/Jerusalem
359;Хайфа;округ Хайфа;Израиль;2;Asia/Jerusalem
269;Рамалла;Палестинская автономия;Израиль;2;Asia/Jerusalem
1522;Афула;Северный округ;Израиль;2;Asia/Jerusalem
1616;Йокнеам;Северный округ;Израиль;2;Asia/Jerusalem
134;Кармиэль;Северный округ;Израиль;2;Asia/Jerusalem
1644;Кейсария;Северный округ;Израиль;2;Asia/Jerusalem
1602;Цфат;Северный округ;Израиль;2;Asia/Jerusalem
